delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,polygon.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.1,1000,exp,4,2,50,6,311.5494019580001,312.53999241699967,312.53999241699967,312.53999241699967,space,2.9519032910011447,315.6169265836654,315.91060829199887,315.91060829199887,315.91060829199887,315.91060829199887,200,51,"[27.07442820899996, 8.05068695800037, 6.117641292001281, 2.9006843340011983, 1.2890127500013477, 3.4391683339999872, 1.539620166999157, 4.551875916999052, 2.739347832999556, 1.9841002080011094, 1.7226176250005665, 6.98409995899965, 6.172724250000101, 2.6895056670000486, 5.93399162499918, 2.550011875000564, 2.37265162499898, 3.000448792001407, 2.4340360420010256, 2.5892664580005658, 2.4394271670007583, 2.5172002499984956, 2.1835620410001866, 3.271988832999341, 3.8392086249987187, 2.5387318339999183, 2.7328386250010226, 2.250497249999171, 1.9173062499994558, 4.022363457999745, 2.8730163749987696, 2.15594237500045, 3.233426666998639, 1.771866584000236, 1.9336985829995683, 6.40088541699879, 2.101165583000693, 2.150731249999808, 1.5555168749997392, 1.639582750000045, 3.0725533749991882, 1.6224270000002434, 2.500125124999613, 3.6723769170002925, 2.0672130000002653, 3.7007718330005446, 2.0727942920002533, 4.473651999998765, 1.7173856669996894, 1.3229027090001182, 1.5725899170010962]","[27.07443074999901, 8.050689790999968, 6.117644125000879, 2.9006871250003314, 1.2890154579999944, 3.43917062500077, 1.5396227090004686, 4.551878166999813, 2.739350124998964, 1.9841025410005386, 1.7226201670000592, 6.9841025000005175, 6.1727265839999745, 2.6895082920000277, 5.9339942909991805, 2.550014917000226, 2.372654208998938, 3.0004512920004345, 2.4340388330001588, 2.5892694579997624, 2.4394297920007375, 2.5172028339984536, 2.1835645829996793, 3.2719914999997854, 3.839211749998867, 2.538734833999115, 2.7328413750001346, 2.250499707999552, 1.917308416999731, 4.022366041999703, 2.8730190829992353, 2.155944833000831, 3.23342941699957, 1.771869374999369, 1.9337010830004147, 6.400888750000377, 2.1011679580005875, 2.150733666998349, 1.5555192089996126, 1.6395858340001723, 3.072555958000521, 1.6224294589992496, 2.500127834000523, 3.6723795420002716, 2.0672154580006463, 3.7007743750000373, 2.07279729199945, 4.473654499999611, 1.717388375000155, 1.3229053750001185, 1.5725923749996582]",tanmayi,001,2022-11-10_10h57.33.940,lab-tut.7,2022.2.4,None,
0.1,1000,exp,4,3,51,3,317.48290587500014,318.4733017079998,318.4733017079998,318.4733017079998,space,1.3077979580011743,319.88733008366603,,320.1826711249996,320.1826711249996,320.1826711249996,100,52,"[27.07442820899996, 8.05068695800037, 6.117641292001281, 2.9006843340011983, 1.2890127500013477, 3.4391683339999872, 1.539620166999157, 4.551875916999052, 2.739347832999556, 1.9841002080011094, 1.7226176250005665, 6.98409995899965, 6.172724250000101, 2.6895056670000486, 5.93399162499918, 2.550011875000564, 2.37265162499898, 3.000448792001407, 2.4340360420010256, 2.5892664580005658, 2.4394271670007583, 2.5172002499984956, 2.1835620410001866, 3.271988832999341, 3.8392086249987187, 2.5387318339999183, 2.7328386250010226, 2.250497249999171, 1.9173062499994558, 4.022363457999745, 2.8730163749987696, 2.15594237500045, 3.233426666998639, 1.771866584000236, 1.9336985829995683, 6.40088541699879, 2.101165583000693, 2.150731249999808, 1.5555168749997392, 1.639582750000045, 3.0725533749991882, 1.6224270000002434, 2.500125124999613, 3.6723769170002925, 2.0672130000002653, 3.7007718330005446, 2.0727942920002533, 4.473651999998765, 1.7173856669996894, 1.3229027090001182, 1.5725899170010962, 1.284617708000951]","[27.07443074999901, 8.050689790999968, 6.117644125000879, 2.9006871250003314, 1.2890154579999944, 3.43917062500077, 1.5396227090004686, 4.551878166999813, 2.739350124998964, 1.9841025410005386, 1.7226201670000592, 6.9841025000005175, 6.1727265839999745, 2.6895082920000277, 5.9339942909991805, 2.550014917000226, 2.372654208998938, 3.0004512920004345, 2.4340388330001588, 2.5892694579997624, 2.4394297920007375, 2.5172028339984536, 2.1835645829996793, 3.2719914999997854, 3.839211749998867, 2.538734833999115, 2.7328413750001346, 2.250499707999552, 1.917308416999731, 4.022366041999703, 2.8730190829992353, 2.155944833000831, 3.23342941699957, 1.771869374999369, 1.9337010830004147, 6.400888750000377, 2.1011679580005875, 2.150733666998349, 1.5555192089996126, 1.6395858340001723, 3.072555958000521, 1.6224294589992496, 2.500127834000523, 3.6723795420002716, 2.0672154580006463, 3.7007743750000373, 2.07279729199945, 4.473654499999611, 1.717388375000155, 1.3229053750001185, 1.5725923749996582, 1.284620291000465]",tanmayi,001,2022-11-10_10h57.33.940,lab-tut.7,2022.2.4,None,
0.1,1000,exp,4,4,52,9,321.4660057919991,322.4565555419995,322.4565555419995,322.4565555419995,space,0.255648750000546,322.81641370866623,,323.1107240829988,323.1107240829988,323.1107240829988,100,53,"[27.07442820899996, 8.05068695800037, 6.117641292001281, 2.9006843340011983, 1.2890127500013477, 3.4391683339999872, 1.539620166999157, 4.551875916999052, 2.739347832999556, 1.9841002080011094, 1.7226176250005665, 6.98409995899965, 6.172724250000101, 2.6895056670000486, 5.93399162499918, 2.550011875000564, 2.37265162499898, 3.000448792001407, 2.4340360420010256, 2.5892664580005658, 2.4394271670007583, 2.5172002499984956, 2.1835620410001866, 3.271988832999341, 3.8392086249987187, 2.5387318339999183, 2.7328386250010226, 2.250497249999171, 1.9173062499994558, 4.022363457999745, 2.8730163749987696, 2.15594237500045, 3.233426666998639, 1.771866584000236, 1.9336985829995683, 6.40088541699879, 2.101165583000693, 2.150731249999808, 1.5555168749997392, 1.639582750000045, 3.0725533749991882, 1.6224270000002434, 2.500125124999613, 3.6723769170002925, 2.0672130000002653, 3.7007718330005446, 2.0727942920002533, 4.473651999998765, 1.7173856669996894, 1.3229027090001182, 1.5725899170010962, 1.284617708000951, 1.2395472080006584]","[27.07443074999901, 8.050689790999968, 6.117644125000879, 2.9006871250003314, 1.2890154579999944, 3.43917062500077, 1.5396227090004686, 4.551878166999813, 2.739350124998964, 1.9841025410005386, 1.7226201670000592, 6.9841025000005175, 6.1727265839999745, 2.6895082920000277, 5.9339942909991805, 2.550014917000226, 2.372654208998938, 3.0004512920004345, 2.4340388330001588, 2.5892694579997624, 2.4394297920007375, 2.5172028339984536, 2.1835645829996793, 3.2719914999997854, 3.839211749998867, 2.538734833999115, 2.7328413750001346, 2.250499707999552, 1.917308416999731, 4.022366041999703, 2.8730190829992353, 2.155944833000831, 3.23342941699957, 1.771869374999369, 1.9337010830004147, 6.400888750000377, 2.1011679580005875, 2.150733666998349, 1.5555192089996126, 1.6395858340001723, 3.072555958000521, 1.6224294589992496, 2.500127834000523, 3.6723795420002716, 2.0672154580006463, 3.7007743750000373, 2.07279729199945, 4.473654499999611, 1.717388375000155, 1.3229053750001185, 1.5725923749996582, 1.284620291000465, 1.2395495000000665]",tanmayi,001,2022-11-10_10h57.33.940,lab-tut.7,2022.2.4,None,
0.4,400,unexp,4,5,53,1,324.34937374999936,325.3395989169985,325.3395989169985,325.3395989169985,space,1.7672092910015635,327.51667724966524,327.8111199999985,327.8111199999985,327.8111199999985,327.8111199999985,200,54,"[27.07442820899996, 8.05068695800037, 6.117641292001281, 2.9006843340011983, 1.2890127500013477, 3.4391683339999872, 1.539620166999157, 4.551875916999052, 2.739347832999556, 1.9841002080011094, 1.7226176250005665, 6.98409995899965, 6.172724250000101, 2.6895056670000486, 5.93399162499918, 2.550011875000564, 2.37265162499898, 3.000448792001407, 2.4340360420010256, 2.5892664580005658, 2.4394271670007583, 2.5172002499984956, 2.1835620410001866, 3.271988832999341, 3.8392086249987187, 2.5387318339999183, 2.7328386250010226, 2.250497249999171, 1.9173062499994558, 4.022363457999745, 2.8730163749987696, 2.15594237500045, 3.233426666998639, 1.771866584000236, 1.9336985829995683, 6.40088541699879, 2.101165583000693, 2.150731249999808, 1.5555168749997392, 1.639582750000045, 3.0725533749991882, 1.6224270000002434, 2.500125124999613, 3.6723769170002925, 2.0672130000002653, 3.7007718330005446, 2.0727942920002533, 4.473651999998765, 1.7173856669996894, 1.3229027090001182, 1.5725899170010962, 1.284617708000951, 1.2395472080006584, 1.7386916670002392]","[27.07443074999901, 8.050689790999968, 6.117644125000879, 2.9006871250003314, 1.2890154579999944, 3.43917062500077, 1.5396227090004686, 4.551878166999813, 2.739350124998964, 1.9841025410005386, 1.7226201670000592, 6.9841025000005175, 6.1727265839999745, 2.6895082920000277, 5.9339942909991805, 2.550014917000226, 2.372654208998938, 3.0004512920004345, 2.4340388330001588, 2.5892694579997624, 2.4394297920007375, 2.5172028339984536, 2.1835645829996793, 3.2719914999997854, 3.839211749998867, 2.538734833999115, 2.7328413750001346, 2.250499707999552, 1.917308416999731, 4.022366041999703, 2.8730190829992353, 2.155944833000831, 3.23342941699957, 1.771869374999369, 1.9337010830004147, 6.400888750000377, 2.1011679580005875, 2.150733666998349, 1.5555192089996126, 1.6395858340001723, 3.072555958000521, 1.6224294589992496, 2.500127834000523, 3.6723795420002716, 2.0672154580006463, 3.7007743750000373, 2.07279729199945, 4.473654499999611, 1.717388375000155, 1.3229053750001185, 1.5725923749996582, 1.284620291000465, 1.2395495000000665, 1.7386946250007895]",tanmayi,001,2022-11-10_10h57.33.940,lab-tut.7,2022.2.4,None,
0.7,400,unexp,4,6,54,2,329.5495375419996,330.5394865419985,330.5394865419985,330.5394865419985,space,1.011715708000338,332.26644095866527,332.5607056249992,332.5607056249992,332.5607056249992,332.5607056249992,500,55,"[27.07442820899996, 8.05068695800037, 6.117641292001281, 2.9006843340011983, 1.2890127500013477, 3.4391683339999872, 1.539620166999157, 4.551875916999052, 2.739347832999556, 1.9841002080011094, 1.7226176250005665, 6.98409995899965, 6.172724250000101, 2.6895056670000486, 5.93399162499918, 2.550011875000564, 2.37265162499898, 3.000448792001407, 2.4340360420010256, 2.5892664580005658, 2.4394271670007583, 2.5172002499984956, 2.1835620410001866, 3.271988832999341, 3.8392086249987187, 2.5387318339999183, 2.7328386250010226, 2.250497249999171, 1.9173062499994558, 4.022363457999745, 2.8730163749987696, 2.15594237500045, 3.233426666998639, 1.771866584000236, 1.9336985829995683, 6.40088541699879, 2.101165583000693, 2.150731249999808, 1.5555168749997392, 1.639582750000045, 3.0725533749991882, 1.6224270000002434, 2.500125124999613, 3.6723769170002925, 2.0672130000002653, 3.7007718330005446, 2.0727942920002533, 4.473651999998765, 1.7173856669996894, 1.3229027090001182, 1.5725899170010962, 1.284617708000951, 1.2395472080006584, 1.7386916670002392, 1.8228949590011325]","[27.07443074999901, 8.050689790999968, 6.117644125000879, 2.9006871250003314, 1.2890154579999944, 3.43917062500077, 1.5396227090004686, 4.551878166999813, 2.739350124998964, 1.9841025410005386, 1.7226201670000592, 6.9841025000005175, 6.1727265839999745, 2.6895082920000277, 5.9339942909991805, 2.550014917000226, 2.372654208998938, 3.0004512920004345, 2.4340388330001588, 2.5892694579997624, 2.4394297920007375, 2.5172028339984536, 2.1835645829996793, 3.2719914999997854, 3.839211749998867, 2.538734833999115, 2.7328413750001346, 2.250499707999552, 1.917308416999731, 4.022366041999703, 2.8730190829992353, 2.155944833000831, 3.23342941699957, 1.771869374999369, 1.9337010830004147, 6.400888750000377, 2.1011679580005875, 2.150733666998349, 1.5555192089996126, 1.6395858340001723, 3.072555958000521, 1.6224294589992496, 2.500127834000523, 3.6723795420002716, 2.0672154580006463, 3.7007743750000373, 2.07279729199945, 4.473654499999611, 1.717388375000155, 1.3229053750001185, 1.5725923749996582, 1.284620291000465, 1.2395495000000665, 1.7386946250007895, 1.822897792000731]",tanmayi,001,2022-11-10_10h57.33.940,lab-tut.7,2022.2.4,None,
0.7,1000,exp,4,7,55,11,334.3826907499988,335.3732958749988,335.3732958749988,335.3732958749988,space,0.7013427920010145,336.78871466666556,,337.0823800829985,337.0823800829985,337.0823800829985,400,56,"[27.07442820899996, 8.05068695800037, 6.117641292001281, 2.9006843340011983, 1.2890127500013477, 3.4391683339999872, 1.539620166999157, 4.551875916999052, 2.739347832999556, 1.9841002080011094, 1.7226176250005665, 6.98409995899965, 6.172724250000101, 2.6895056670000486, 5.93399162499918, 2.550011875000564, 2.37265162499898, 3.000448792001407, 2.4340360420010256, 2.5892664580005658, 2.4394271670007583, 2.5172002499984956, 2.1835620410001866, 3.271988832999341, 3.8392086249987187, 2.5387318339999183, 2.7328386250010226, 2.250497249999171, 1.9173062499994558, 4.022363457999745, 2.8730163749987696, 2.15594237500045, 3.233426666998639, 1.771866584000236, 1.9336985829995683, 6.40088541699879, 2.101165583000693, 2.150731249999808, 1.5555168749997392, 1.639582750000045, 3.0725533749991882, 1.6224270000002434, 2.500125124999613, 3.6723769170002925, 2.0672130000002653, 3.7007718330005446, 2.0727942920002533, 4.473651999998765, 1.7173856669996894, 1.3229027090001182, 1.5725899170010962, 1.284617708000951, 1.2395472080006584, 1.7386916670002392, 1.8228949590011325, 1.9340840000004391]","[27.07443074999901, 8.050689790999968, 6.117644125000879, 2.9006871250003314, 1.2890154579999944, 3.43917062500077, 1.5396227090004686, 4.551878166999813, 2.739350124998964, 1.9841025410005386, 1.7226201670000592, 6.9841025000005175, 6.1727265839999745, 2.6895082920000277, 5.9339942909991805, 2.550014917000226, 2.372654208998938, 3.0004512920004345, 2.4340388330001588, 2.5892694579997624, 2.4394297920007375, 2.5172028339984536, 2.1835645829996793, 3.2719914999997854, 3.839211749998867, 2.538734833999115, 2.7328413750001346, 2.250499707999552, 1.917308416999731, 4.022366041999703, 2.8730190829992353, 2.155944833000831, 3.23342941699957, 1.771869374999369, 1.9337010830004147, 6.400888750000377, 2.1011679580005875, 2.150733666998349, 1.5555192089996126, 1.6395858340001723, 3.072555958000521, 1.6224294589992496, 2.500127834000523, 3.6723795420002716, 2.0672154580006463, 3.7007743750000373, 2.07279729199945, 4.473654499999611, 1.717388375000155, 1.3229053750001185, 1.5725923749996582, 1.284620291000465, 1.2395495000000665, 1.7386946250007895, 1.822897792000731, 1.934086916000524]",tanmayi,001,2022-11-10_10h57.33.940,lab-tut.7,2022.2.4,None,
0.7,1000,exp,4,8,56,8,339.01626124999893,340.00646329200026,340.00646329200026,340.00646329200026,space,0.3932908330025384,341.10597033366525,341.3987054169993,341.3987054169993,341.3987054169993,341.3987054169993,300,57,"[27.07442820899996, 8.05068695800037, 6.117641292001281, 2.9006843340011983, 1.2890127500013477, 3.4391683339999872, 1.539620166999157, 4.551875916999052, 2.739347832999556, 1.9841002080011094, 1.7226176250005665, 6.98409995899965, 6.172724250000101, 2.6895056670000486, 5.93399162499918, 2.550011875000564, 2.37265162499898, 3.000448792001407, 2.4340360420010256, 2.5892664580005658, 2.4394271670007583, 2.5172002499984956, 2.1835620410001866, 3.271988832999341, 3.8392086249987187, 2.5387318339999183, 2.7328386250010226, 2.250497249999171, 1.9173062499994558, 4.022363457999745, 2.8730163749987696, 2.15594237500045, 3.233426666998639, 1.771866584000236, 1.9336985829995683, 6.40088541699879, 2.101165583000693, 2.150731249999808, 1.5555168749997392, 1.639582750000045, 3.0725533749991882, 1.6224270000002434, 2.500125124999613, 3.6723769170002925, 2.0672130000002653, 3.7007718330005446, 2.0727942920002533, 4.473651999998765, 1.7173856669996894, 1.3229027090001182, 1.5725899170010962, 1.284617708000951, 1.2395472080006584, 1.7386916670002392, 1.8228949590011325, 1.9340840000004391, 3.2679729999999836]","[27.07443074999901, 8.050689790999968, 6.117644125000879, 2.9006871250003314, 1.2890154579999944, 3.43917062500077, 1.5396227090004686, 4.551878166999813, 2.739350124998964, 1.9841025410005386, 1.7226201670000592, 6.9841025000005175, 6.1727265839999745, 2.6895082920000277, 5.9339942909991805, 2.550014917000226, 2.372654208998938, 3.0004512920004345, 2.4340388330001588, 2.5892694579997624, 2.4394297920007375, 2.5172028339984536, 2.1835645829996793, 3.2719914999997854, 3.839211749998867, 2.538734833999115, 2.7328413750001346, 2.250499707999552, 1.917308416999731, 4.022366041999703, 2.8730190829992353, 2.155944833000831, 3.23342941699957, 1.771869374999369, 1.9337010830004147, 6.400888750000377, 2.1011679580005875, 2.150733666998349, 1.5555192089996126, 1.6395858340001723, 3.072555958000521, 1.6224294589992496, 2.500127834000523, 3.6723795420002716, 2.0672154580006463, 3.7007743750000373, 2.07279729199945, 4.473654499999611, 1.717388375000155, 1.3229053750001185, 1.5725923749996582, 1.284620291000465, 1.2395495000000665, 1.7386946250007895, 1.822897792000731, 1.934086916000524, 3.2679756249999627]",tanmayi,001,2022-11-10_10h57.33.940,lab-tut.7,2022.2.4,None,
0.4,1000,exp,4,9,57,4,344.66595416699965,345.65721250000024,345.65721250000024,345.65721250000024,space,0.2513710000021092,346.3224315836653,346.61521166700004,346.61521166700004,346.61521166700004,346.61521166700004,200,58,"[27.07442820899996, 8.05068695800037, 6.117641292001281, 2.9006843340011983, 1.2890127500013477, 3.4391683339999872, 1.539620166999157, 4.551875916999052, 2.739347832999556, 1.9841002080011094, 1.7226176250005665, 6.98409995899965, 6.172724250000101, 2.6895056670000486, 5.93399162499918, 2.550011875000564, 2.37265162499898, 3.000448792001407, 2.4340360420010256, 2.5892664580005658, 2.4394271670007583, 2.5172002499984956, 2.1835620410001866, 3.271988832999341, 3.8392086249987187, 2.5387318339999183, 2.7328386250010226, 2.250497249999171, 1.9173062499994558, 4.022363457999745, 2.8730163749987696, 2.15594237500045, 3.233426666998639, 1.771866584000236, 1.9336985829995683, 6.40088541699879, 2.101165583000693, 2.150731249999808, 1.5555168749997392, 1.639582750000045, 3.0725533749991882, 1.6224270000002434, 2.500125124999613, 3.6723769170002925, 2.0672130000002653, 3.7007718330005446, 2.0727942920002533, 4.473651999998765, 1.7173856669996894, 1.3229027090001182, 1.5725899170010962, 1.284617708000951, 1.2395472080006584, 1.7386916670002392, 1.8228949590011325, 1.9340840000004391, 3.2679729999999836, 1.3003384160001588]","[27.07443074999901, 8.050689790999968, 6.117644125000879, 2.9006871250003314, 1.2890154579999944, 3.43917062500077, 1.5396227090004686, 4.551878166999813, 2.739350124998964, 1.9841025410005386, 1.7226201670000592, 6.9841025000005175, 6.1727265839999745, 2.6895082920000277, 5.9339942909991805, 2.550014917000226, 2.372654208998938, 3.0004512920004345, 2.4340388330001588, 2.5892694579997624, 2.4394297920007375, 2.5172028339984536, 2.1835645829996793, 3.2719914999997854, 3.839211749998867, 2.538734833999115, 2.7328413750001346, 2.250499707999552, 1.917308416999731, 4.022366041999703, 2.8730190829992353, 2.155944833000831, 3.23342941699957, 1.771869374999369, 1.9337010830004147, 6.400888750000377, 2.1011679580005875, 2.150733666998349, 1.5555192089996126, 1.6395858340001723, 3.072555958000521, 1.6224294589992496, 2.500127834000523, 3.6723795420002716, 2.0672154580006463, 3.7007743750000373, 2.07279729199945, 4.473654499999611, 1.717388375000155, 1.3229053750001185, 1.5725923749996582, 1.284620291000465, 1.2395495000000665, 1.7386946250007895, 1.822897792000731, 1.934086916000524, 3.2679756249999627, 1.300340874999165]",tanmayi,001,2022-11-10_10h57.33.940,lab-tut.7,2022.2.4,None,
0.4,1000,exp,4,10,58,10,347.9163802080002,348.90680883299865,348.90680883299865,348.90680883299865,space,1.0672416250017704,350.38314870866657,350.67546670799857,350.67546670799857,350.67546670799857,350.67546670799857,200,59,"[27.07442820899996, 8.05068695800037, 6.117641292001281, 2.9006843340011983, 1.2890127500013477, 3.4391683339999872, 1.539620166999157, 4.551875916999052, 2.739347832999556, 1.9841002080011094, 1.7226176250005665, 6.98409995899965, 6.172724250000101, 2.6895056670000486, 5.93399162499918, 2.550011875000564, 2.37265162499898, 3.000448792001407, 2.4340360420010256, 2.5892664580005658, 2.4394271670007583, 2.5172002499984956, 2.1835620410001866, 3.271988832999341, 3.8392086249987187, 2.5387318339999183, 2.7328386250010226, 2.250497249999171, 1.9173062499994558, 4.022363457999745, 2.8730163749987696, 2.15594237500045, 3.233426666998639, 1.771866584000236, 1.9336985829995683, 6.40088541699879, 2.101165583000693, 2.150731249999808, 1.5555168749997392, 1.639582750000045, 3.0725533749991882, 1.6224270000002434, 2.500125124999613, 3.6723769170002925, 2.0672130000002653, 3.7007718330005446, 2.0727942920002533, 4.473651999998765, 1.7173856669996894, 1.3229027090001182, 1.5725899170010962, 1.284617708000951, 1.2395472080006584, 1.7386916670002392, 1.8228949590011325, 1.9340840000004391, 3.2679729999999836, 1.3003384160001588, 1.2571561250006198]","[27.07443074999901, 8.050689790999968, 6.117644125000879, 2.9006871250003314, 1.2890154579999944, 3.43917062500077, 1.5396227090004686, 4.551878166999813, 2.739350124998964, 1.9841025410005386, 1.7226201670000592, 6.9841025000005175, 6.1727265839999745, 2.6895082920000277, 5.9339942909991805, 2.550014917000226, 2.372654208998938, 3.0004512920004345, 2.4340388330001588, 2.5892694579997624, 2.4394297920007375, 2.5172028339984536, 2.1835645829996793, 3.2719914999997854, 3.839211749998867, 2.538734833999115, 2.7328413750001346, 2.250499707999552, 1.917308416999731, 4.022366041999703, 2.8730190829992353, 2.155944833000831, 3.23342941699957, 1.771869374999369, 1.9337010830004147, 6.400888750000377, 2.1011679580005875, 2.150733666998349, 1.5555192089996126, 1.6395858340001723, 3.072555958000521, 1.6224294589992496, 2.500127834000523, 3.6723795420002716, 2.0672154580006463, 3.7007743750000373, 2.07279729199945, 4.473654499999611, 1.717388375000155, 1.3229053750001185, 1.5725923749996582, 1.284620291000465, 1.2395495000000665, 1.7386946250007895, 1.822897792000731, 1.934086916000524, 3.2679756249999627, 1.300340874999165, 1.2571591249998164]",tanmayi,001,2022-11-10_10h57.33.940,lab-tut.7,2022.2.4,None,
0.1,400,unexp,4,11,59,0,351.9333299579994,352.92381670800023,352.92381670800023,352.92381670800023,space,0.6546911250006815,353.68326062466645,353.9780401249991,353.9780401249991,353.9780401249991,353.9780401249991,100,60,"[27.07442820899996, 8.05068695800037, 6.117641292001281, 2.9006843340011983, 1.2890127500013477, 3.4391683339999872, 1.539620166999157, 4.551875916999052, 2.739347832999556, 1.9841002080011094, 1.7226176250005665, 6.98409995899965, 6.172724250000101, 2.6895056670000486, 5.93399162499918, 2.550011875000564, 2.37265162499898, 3.000448792001407, 2.4340360420010256, 2.5892664580005658, 2.4394271670007583, 2.5172002499984956, 2.1835620410001866, 3.271988832999341, 3.8392086249987187, 2.5387318339999183, 2.7328386250010226, 2.250497249999171, 1.9173062499994558, 4.022363457999745, 2.8730163749987696, 2.15594237500045, 3.233426666998639, 1.771866584000236, 1.9336985829995683, 6.40088541699879, 2.101165583000693, 2.150731249999808, 1.5555168749997392, 1.639582750000045, 3.0725533749991882, 1.6224270000002434, 2.500125124999613, 3.6723769170002925, 2.0672130000002653, 3.7007718330005446, 2.0727942920002533, 4.473651999998765, 1.7173856669996894, 1.3229027090001182, 1.5725899170010962, 1.284617708000951, 1.2395472080006584, 1.7386916670002392, 1.8228949590011325, 1.9340840000004391, 3.2679729999999836, 1.3003384160001588, 1.2571561250006198, 2.3230274160014233]","[27.07443074999901, 8.050689790999968, 6.117644125000879, 2.9006871250003314, 1.2890154579999944, 3.43917062500077, 1.5396227090004686, 4.551878166999813, 2.739350124998964, 1.9841025410005386, 1.7226201670000592, 6.9841025000005175, 6.1727265839999745, 2.6895082920000277, 5.9339942909991805, 2.550014917000226, 2.372654208998938, 3.0004512920004345, 2.4340388330001588, 2.5892694579997624, 2.4394297920007375, 2.5172028339984536, 2.1835645829996793, 3.2719914999997854, 3.839211749998867, 2.538734833999115, 2.7328413750001346, 2.250499707999552, 1.917308416999731, 4.022366041999703, 2.8730190829992353, 2.155944833000831, 3.23342941699957, 1.771869374999369, 1.9337010830004147, 6.400888750000377, 2.1011679580005875, 2.150733666998349, 1.5555192089996126, 1.6395858340001723, 3.072555958000521, 1.6224294589992496, 2.500127834000523, 3.6723795420002716, 2.0672154580006463, 3.7007743750000373, 2.07279729199945, 4.473654499999611, 1.717388375000155, 1.3229053750001185, 1.5725923749996582, 1.284620291000465, 1.2395495000000665, 1.7386946250007895, 1.822897792000731, 1.934086916000524, 3.2679756249999627, 1.300340874999165, 1.2571591249998164, 2.3230297080008313]",tanmayi,001,2022-11-10_10h57.33.940,lab-tut.7,2022.2.4,None,
